STT,Ho va ten,Ma sinh vien,Chuyen can,Kiem tra giua ky,Diem BTL,Kiem tra cuoi ky,TBM
1129,Ly Bao Nhi,B22DCCN626,8.4,5.0,0.1,4.6,4.5
1130,Do Bao An,B22DCKT875,7.1,7.5,7.8,1.1,5.9
1131,Ngo Minh Ly,B22DCCN487,7.5,9.5,0.2,9.6,6.7
1132,Duong Xuan Bao,B22DCKT865,6.5,4.0,5.6,5.2,5.3
1133,Mai Huu Huy,B22DCKH974,8.2,3.7,2.9,6.6,5.3
1134,Tran Minh Tuan,B22DCKT452,8.3,6.7,1.7,6.1,5.7
1135,Ta Manh Viet,B22DCKH410,9.7,9.9,3.4,7.7,7.7
1136,Dang Ngoc Anh,B22DCAT655,6.5,6.0,9.6,3.7,6.5
1137,Do Thanh Quang,B22DCQT007,8.0,2.6,3.3,4.2,4.5
1138,Mai Xuan Trung,B22DCMR850,6.4,7.0,5.8,3.0,5.5
1139,Ngo Ngoc Chi,B22DCQT893,9.0,3.3,7.5,7.1,6.7
1140,Dang Quang Vy,B22DCKH980,9.2,1.0,5.1,3.2,4.6
1141,Hoang Cong Thao,B22DCQT693,8.2,4.6,3.1,9.7,6.4
1142,Nguyen Dinh Tam,B22DCKT650,8.2,6.8,2.9,6.4,6.1
1143,Hoang Xuan Ly,B22DCQT473,8.2,3.5,9.6,3.7,6.2
1144,Phan Cong Lan,B22DCPT657,6.2,5.3,9.3,1.8,5.7
1145,Huynh Ngoc Lan,B22DCKT056,8.8,5.8,1.1,1.3,4.2
1146,Vo Bao Quang,B22DCAT766,9.3,2.1,1.7,6.4,4.9
1147,Duong Thanh Hung,B22DCFT297,6.2,8.0,3.2,5.2,5.6
1148,Dinh Dinh Nga,B22DCBC393,9.8,7.0,7.8,9.9,8.6
1149,Huynh Quang Bao,B22DCCN133,8.4,7.1,7.8,9.1,8.1
1150,Tran Thu Son,B22DCPT940,7.5,3.3,8.9,5.2,6.2
1151,Nguyen Van Son,B22DCBC046,6.4,8.4,6.7,6.3,7.0
1152,Duong Ngoc Hoa,B22DCKT654,9.5,0.3,2.3,1.4,3.4
1153,Doan Thu Chi,B22DCCN201,6.2,9.0,7.2,7.9,7.6
1154,Phan Ngoc Trang,B22DCAT280,8.5,8.7,3.1,5.6,6.5
1155,Ly Van Ha,B22DCQT577,8.2,7.2,3.0,4.9,5.8
1156,Ly Van Binh,B22DCKT574,8.4,2.3,5.7,3.4,4.9
1157,Doan Dinh Minh,B22DCKT111,6.3,3.6,2.5,3.1,3.9
1158,Bui Quang Chau,B22DCAT629,9.6,6.4,2.0,2.4,5.1
1159,Dang Gia Quang,B22DCFT353,9.3,8.5,6.4,8.2,8.1
1160,Hoang Huu Phuong,B22DCVT371,7.5,9.9,9.2,4.2,7.7
1161,Vu Quang Son,B22DCKT018,8.5,9.6,6.5,6.8,7.9
1162,Vo Ngoc Dung,B22DCVT319,6.9,8.6,3.4,7.2,6.5
1163,Bui Huu Bao,B22DCQT232,7.2,6.2,2.9,1.6,4.5
1164,Bui Gia Huy,B22DCMR376,8.7,7.7,1.0,6.2,5.9
1165,Hoang Quoc Huy,B22DCPT974,7.0,3.8,3.6,1.9,4.1
1166,Le Cong Chau,B22DCVT171,6.5,8.1,5.9,8.0,7.1
1167,Vu Cong Bao,B22DCVT375,7.1,3.7,1.1,8.2,5.0
1168,Doan Quoc Chi,B22DCBC115,8.5,6.7,5.2,4.3,6.2
1169,Phan Cong Hai,B22DCVT367,9.0,5.6,3.7,1.1,4.9
1170,Mai Thu Khanh,B22DCQT442,9.7,3.9,0.5,3.7,4.5
1171,Huynh Minh Ngan,B22DCKT744,6.4,4.4,2.0,6.0,4.7
1172,Do Quang Phuc,B22DCQT739,6.8,0.9,2.8,0.6,2.8
1173,Vo Quoc Duy,B22DCKH558,7.1,7.6,7.4,1.2,5.8
1174,Vu Manh Khanh,B22DCKT344,8.9,1.4,1.9,7.2,4.9
1175,Bui Quoc Dung,B22DCMR673,9.5,8.8,8.8,5.9,8.2
1176,Doan Thu Ly,B22DCKH212,7.9,5.3,7.9,6.9,7.0
1177,Le Quang Khanh,B22DCVT166,9.8,5.7,7.5,7.2,7.5
1178,Ta Gia Duy,B22DCBC480,9.1,3.9,0.3,9.6,5.7
1179,Tran Quang Mai,B22DCFT247,7.3,1.2,8.6,8.1,6.3
1180,Tran Thu Duy,B22DCKH865,7.1,5.6,0.1,9.2,5.5
1181,Vo Thu Anh,B22DCKH106,8.5,9.4,8.4,1.4,6.9
1182,Dinh Cong Ly,B22DCQT517,8.7,9.3,5.5,0.3,6.0
1183,Vo Quoc Huy,B22DCFT337,8.0,0.8,7.1,8.1,6.0
1184,Phan Cong Hieu,B22DCMR403,7.3,2.5,6.0,2.1,4.5
1185,Doan Duc Trang,B22DCFT654,8.1,1.4,0.7,8.9,4.8
1186,Vo Thanh Huy,B22DCBC081,8.2,7.8,6.5,5.1,6.9
1187,Nguyen Thi An,B22DCBC355,9.3,7.7,9.8,10.0,9.2
1188,Duong Xuan Hoa,B22DCVT546,6.4,5.5,3.9,8.9,6.2
1189,Phan Cong Tu,B22DCCN941,6.7,7.1,8.5,8.6,7.7
1190,Do Dinh An,B22DCFT458,8.9,0.4,3.2,8.6,5.3
1191,Nguyen Bao Phuc,B22DCMR916,6.6,5.1,9.3,0.5,5.4
1192,Ho Thi Minh,B22DCBC076,8.7,8.1,2.2,5.4,6.1
1193,Tran Gia Dung,B22DCKH914,7.7,5.0,9.3,8.9,7.7
1194,Ho Quang Trung,B22DCAT120,7.4,1.3,7.6,0.7,4.2
1195,Doan Cong Thao,B22DCQT755,9.2,10.0,6.5,5.5,7.8
1196,Doan Quoc Viet,B22DCMR382,6.3,6.7,8.6,3.7,6.3
1197,Huynh Cong Hoa,B22DCMR645,7.0,7.7,2.4,3.3,5.1
1198,Pham Ngoc Binh,B22DCFT144,6.0,6.0,4.2,0.0,4.0
1199,Le Quang Phong,B22DCKH755,7.6,7.4,1.9,3.2,5.0
1200,Hoang Minh Quan,B22DCAT372,8.4,3.1,8.4,1.5,5.3
1201,Pham Thu Giang,B22DCVT199,7.4,5.5,9.5,2.4,6.2
1202,Ly Bao Phuong,B22DCPT626,8.9,9.1,2.6,3.6,6.1
1203,Ta Duc Tu,B22DCPT469,9.4,2.0,6.7,2.2,5.1
1204,Phan Minh Quan,B22DCPT040,7.0,4.2,2.9,8.6,5.7
1205,Duong Xuan Long,B22DCKH933,7.8,9.0,7.4,7.9,8.0
1206,Do Dinh Phuc,B22DCQT387,6.9,8.4,1.1,9.7,6.5
1207,Ta Manh Ngoc,B22DCVT142,8.4,5.1,6.9,3.5,6.0
1208,Tran Gia Mai,B22DCQT290,7.4,5.1,6.2,9.4,7.0
1209,Ho Duc Mai,B22DCFT332,7.1,7.9,6.2,1.4,5.6
1210,Le Bao Giang,B22DCVT131,8.9,5.7,3.7,5.9,6.1
1211,Dang Xuan An,B22DCAT078,8.4,4.1,0.8,0.9,3.6
1212,Le Huu Duy,B22DCFT529,7.6,3.6,2.3,2.4,4.0
1213,Dinh Quoc Giang,B22DCMR252,6.8,2.9,6.0,2.7,4.6
1214,Ly Thu Viet,B22DCKT225,9.8,8.1,9.6,2.8,7.6
1215,Tran Huu Long,B22DCMR803,8.8,1.2,0.1,9.8,5.0
1216,Ta Xuan Hai,B22DCMR338,7.8,0.9,8.1,5.2,5.5
1217,Vu Van Vy,B22DCCN608,10.0,2.6,4.3,3.5,5.1
1218,Mai Xuan Huy,B22DCBC947,10.0,4.6,9.8,5.2,7.4
1219,Le Thanh Chau,B22DCVT801,7.6,1.2,0.8,9.7,4.8
1220,Duong Dinh Duy,B22DCVT384,7.9,8.4,7.5,1.0,6.2
1221,Nguyen Van Duy,B22DCQT559,7.4,8.5,3.6,1.8,5.3
1222,Vo Manh Chi,B22DCVT684,6.4,1.0,8.5,9.4,6.3
1223,Bui Quang Chau,B22DCKH932,7.6,3.6,0.5,7.2,4.7
1224,Doan Minh Lan,B22DCCN416,9.2,6.8,1.2,7.0,6.0
1225,Huynh Ngoc Binh,B22DCFT372,7.8,9.2,5.0,5.1,6.8
1226,Dang Cong Ngan,B22DCKH162,7.0,8.4,5.7,8.3,7.4
1227,Bui Ngoc Nam,B22DCVT627,6.0,9.0,9.7,5.8,7.6
1228,Duong Xuan Ly,B22DCKT957,6.8,3.5,2.8,2.2,3.8
1229,Nguyen Ngoc Hung,B22DCPT747,8.6,2.4,0.3,3.4,3.7
1230,Ngo Thi Minh,B22DCKH822,9.8,9.1,6.1,2.2,6.8
1231,Huynh Bao Quang,B22DCFT068,9.6,2.1,4.8,6.9,5.8
1232,Ho Manh Quan,B22DCKH879,7.4,9.2,2.6,0.6,5.0
1233,Ly Gia Ngan,B22DCKT599,6.8,5.9,4.2,7.6,6.1
1234,Le Thanh Hoa,B22DCPT055,6.1,2.3,1.6,0.3,2.6
1235,Bui Bao Viet,B22DCMR873,6.8,4.3,7.5,6.5,6.3
1236,Nguyen Quang An,B22DCPT300,9.6,5.4,2.6,7.7,6.3
1237,Nguyen Duc Anh,B22DCKH268,9.2,4.0,8.9,0.6,5.7
1238,Dang Thu Yen,B22DCKH567,6.1,4.0,6.2,8.6,6.2
1239,Le Dinh Quang,B22DCBC807,7.1,0.4,7.9,6.3,5.4
1240,Duong Xuan Duy,B22DCVT953,8.8,0.7,0.1,5.6,3.8
1241,Mai Cong Hung,B22DCQT085,6.3,9.2,2.3,2.7,5.1
1242,Vo Bao Viet,B22DCAT737,7.1,0.9,7.9,0.4,4.1
1243,Tran Thu Yen,B22DCBC494,6.9,7.5,3.5,9.1,6.8
1244,Le Manh Duy,B22DCVT796,9.6,6.8,5.5,1.2,5.8
1245,Pham Minh Giang,B22DCVT701,7.4,2.3,3.8,3.0,4.1
1246,Ho Van Long,B22DCFT679,9.2,9.5,0.1,4.5,5.8
1247,Huynh Quoc Long,B22DCVT932,9.6,3.8,4.0,7.0,6.1
1248,Ngo Cong Khanh,B22DCPT200,9.6,5.3,2.2,8.8,6.5
1249,Ho Quoc Nhi,B22DCMR287,9.8,4.0,9.3,0.2,5.8
1250,Tran Gia Tam,B22DCKH051,8.8,1.1,4.0,4.5,4.6
1251,Dinh Gia Yen,B22DCKH290,9.2,3.5,0.4,5.1,4.5
1252,Hoang Xuan Trang,B22DCKT427,9.5,9.8,6.5,7.6,8.3
1253,Mai Huu Hai,B22DCVT329,8.3,2.8,7.3,0.7,4.8
1254,Ta Huu Minh,B22DCQT668,6.5,7.4,6.7,0.8,5.4
1255,Pham Dinh Hieu,B22DCAT419,8.2,5.2,2.3,7.4,5.8
1256,Doan Thi Nhi,B22DCBC891,8.2,1.4,9.8,2.6,5.5
1257,Bui Thu Ngan,B22DCAT101,8.9,7.6,8.6,7.0,8.0
1258,Vu Huu Ly,B22DCKH061,6.1,6.1,7.3,3.4,5.7
1259,Dang Thi Long,B22DCCN616,9.3,0.2,2.4,5.1,4.2
1260,Ta Gia Tam,B22DCPT307,6.6,10.0,7.9,7.2,7.9
1261,Doan Cong Hoa,B22DCMR581,7.0,5.8,4.2,4.4,5.3
1262,Pham Xuan Huy,B22DCCN816,7.7,7.9,4.7,7.8,7.0
1263,Le Minh Son,B22DCCN733,8.2,4.6,3.8,3.7,5.1
1264,Ho Dinh Tuan,B22DCFT442,7.7,7.2,9.5,9.8,8.6
1265,Tran Ngoc Phuong,B22DCQT114,9.3,4.1,2.3,7.2,5.7
1266,Ly Quang Long,B22DCFT455,7.1,9.0,3.8,5.7,6.4
1267,Hoang Cong Linh,B22DCCN767,6.5,7.5,7.6,1.7,5.8
1268,Phan Cong Hai,B22DCMR968,8.2,1.7,8.1,2.4,5.1
1269,Do Cong Nhi,B22DCCN921,6.0,6.5,8.6,2.2,5.8
1270,Vu Quang Lan,B22DCAT249,6.1,4.2,8.8,5.5,6.2
1271,Do Thi Ngan,B22DCKH003,8.9,3.0,9.9,4.6,6.6
1272,Do Thi Giang,B22DCKT525,9.6,0.4,5.6,9.4,6.2
1273,Ngo Cong Chi,B22DCFT829,7.4,5.9,9.1,2.6,6.2
1274,Phan Ngoc Chau,B22DCAT439,8.4,6.8,7.8,0.8,6.0
1275,Ly Gia Quan,B22DCKH118,9.6,8.6,8.3,6.9,8.3
1276,Dinh Thu Nam,B22DCFT750,8.6,6.1,9.7,9.3,8.4
1277,Vu Thanh Linh,B22DCKT365,8.8,7.8,1.8,5.2,5.9
1278,Duong Minh Hai,B22DCAT369,8.7,7.6,6.7,9.9,8.2
1279,Nguyen Ngoc Thang,B22DCQT530,9.8,0.9,0.2,9.8,5.2
1280,Mai Dinh Vy,B22DCQT150,9.8,0.4,7.0,8.8,6.5
1281,Vo Cong Nam,B22DCCN735,6.7,7.9,8.1,3.1,6.5
1282,Tran Quoc Ngoc,B22DCBC425,8.9,4.6,0.8,8.1,5.6
1283,Phan Duc Thao,B22DCPT696,8.7,1.5,0.3,6.9,4.3
1284,Ngo Bao Giang,B22DCFT803,7.0,4.1,1.4,9.0,5.4
1285,Duong Thi Phuc,B22DCPT864,8.2,3.1,0.7,2.4,3.6
1286,Phan Gia Quang,B22DCVT994,9.9,7.0,5.9,8.7,7.9
1287,Phan Manh Viet,B22DCKH608,7.1,4.5,5.2,6.8,5.9
1288,Dinh Van Tu,B22DCBC945,7.3,6.2,6.9,9.4,7.4
1289,Ly Xuan Anh,B22DCPT368,9.2,3.1,4.9,0.5,4.4
1290,Pham Duc Lan,B22DCBC045,7.7,2.1,4.3,6.2,5.1
1291,Mai Manh Nhi,B22DCAT237,8.8,2.1,0.1,8.8,5.0
1292,Ho Manh Phong,B22DCBC397,7.2,6.2,1.0,3.0,4.3
1293,Ta Quang Ngan,B22DCBC198,7.6,2.8,9.2,5.3,6.2
1294,Ngo Thu Tu,B22DCVT793,6.3,2.4,1.3,5.9,4.0
1295,Phan Xuan Yen,B22DCFT694,7.3,8.3,5.9,1.7,5.8
1296,Pham Manh Ha,B22DCKH580,8.6,2.4,9.1,2.3,5.6
1297,Do Ngoc Hoa,B22DCCN166,7.1,2.4,2.1,8.6,5.0
1298,Huynh Huu Linh,B22DCBC530,8.9,1.4,6.1,7.5,6.0
1299,Do Dinh Son,B22DCKH741,7.2,7.3,1.4,2.5,4.6
1300,Doan Manh Nhi,B22DCKH706,6.7,4.6,8.6,9.9,7.4
1301,Dang Cong Mai,B22DCBC154,9.1,4.6,7.8,1.4,5.7
1302,Hoang Cong Lan,B22DCCN818,8.9,6.2,7.9,6.2,7.3
1303,Hoang Thi Thang,B22DCCN997,7.8,0.2,1.2,6.6,3.9
1304,Pham Ngoc Nga,B22DCCN592,6.8,3.8,9.8,7.5,7.0
1305,Ly Quang Khanh,B22DCBC309,9.0,8.3,6.7,9.0,8.2
1306,Dang Huu Huy,B22DCVT693,9.5,0.1,0.5,2.2,3.1
1307,Huynh Cong Hieu,B22DCKT040,9.3,3.3,6.8,7.3,6.7
1308,Do Bao Mai,B22DCMR844,8.5,4.7,7.6,1.6,5.6
1309,Dang Gia Khanh,B22DCVT813,7.2,0.1,9.7,8.8,6.5
1310,Pham Thu Ngoc,B22DCVT218,9.9,4.1,2.1,4.5,5.2
1311,Dinh Thanh Bao,B22DCFT105,6.3,3.7,0.4,5.1,3.9
1312,Dinh Huu Chi,B22DCKT579,9.2,3.8,4.3,5.6,5.7
1313,Tran Xuan Mai,B22DCAT514,6.4,5.4,9.2,3.3,6.1
1314,Ngo Cong Chau,B22DCFT913,10.0,5.9,8.3,8.9,8.3
1315,Ly Thu Chi,B22DCPT573,7.9,2.6,4.7,3.7,4.7
1316,Dinh Manh Trung,B22DCKT161,9.6,7.9,2.3,2.7,5.6
1317,Duong Van Son,B22DCMR514,7.0,2.1,6.9,3.3,4.8
1318,Doan Huu Minh,B22DCKH998,7.5,9.2,8.9,2.9,7.1
1319,Vu Manh Anh,B22DCVT495,8.7,6.6,8.5,6.7,7.6
1320,Nguyen Xuan Phuc,B22DCMR640,7.6,3.8,1.3,4.2,4.2
1321,Le Ngoc Chau,B22DCBC401,6.5,7.4,4.9,6.1,6.2
1322,Vo Thu Hai,B22DCKT019,8.1,4.9,1.5,5.9,5.1
1323,Do Duc Minh,B22DCCN601,6.2,0.8,2.8,3.4,3.3
1324,Vo Ngoc Yen,B22DCVT160,8.6,5.2,5.9,2.5,5.6
1325,Bui Dinh Hai,B22DCAT767,9.1,1.9,0.4,4.4,4.0
1326,Mai Quoc Phong,B22DCFT822,8.7,4.3,8.9,2.8,6.2
1327,Huynh Dinh Long,B22DCVT516,8.5,9.5,9.9,3.9,7.9
1328,Hoang Thi Vy,B22DCCN003,6.4,6.1,0.9,5.2,4.7
1329,Bui Manh Chi,B22DCPT716,8.8,9.0,6.4,2.3,6.6
1330,Ly Dinh Phuong,B22DCQT667,7.4,5.8,7.1,9.0,7.3
1331,Ngo Duc Long,B22DCKH902,8.8,9.2,1.8,0.4,5.0
1332,Mai Thi Khanh,B22DCFT543,7.0,8.5,5.6,7.5,7.2
1333,Phan Thanh Lan,B22DCPT147,6.5,2.8,6.2,0.4,4.0
1334,Ngo Cong Bao,B22DCKH892,7.8,8.7,9.2,9.3,8.8
1335,Ly Thu Quang,B22DCMR726,6.8,3.7,4.4,8.7,5.9
1336,Hoang Ngoc Chau,B22DCCN927,6.6,8.7,4.7,6.3,6.6
1337,Mai Xuan Lan,B22DCBC434,9.2,2.6,8.3,9.9,7.5
1338,Mai Quang Ha,B22DCQT247,7.3,6.6,2.1,6.0,5.5
1339,Vo Cong Yen,B22DCCN173,9.3,4.1,8.6,7.1,7.3
1340,Huynh Quoc Thao,B22DCKH479,8.2,3.1,0.4,5.7,4.3
1341,Vu Bao Ly,B22DCCN571,6.8,4.8,7.9,6.5,6.5
1342,Ngo Thi Quang,B22DCAT319,7.4,7.3,3.2,0.5,4.6
1343,Dinh Quang Nhi,B22DCVT139,7.4,6.8,4.1,6.6,6.2
1344,Nguyen Huu Dung,B22DCBC926,9.3,5.8,0.5,9.3,6.2
1345,Dang Minh Hai,B22DCKT058,7.6,6.9,5.5,8.8,7.2
1346,Ta Ngoc Nga,B22DCBC883,6.5,1.2,7.3,8.1,5.8
1347,Duong Quang Ngoc,B22DCQT358,8.9,8.7,6.9,6.6,7.8
1348,Do Thi Nhi,B22DCQT928,6.2,5.5,4.7,4.6,5.2
1349,Vu Cong Huong,B22DCPT125,6.3,4.3,0.2,2.7,3.4
1350,Ngo Ngoc Quang,B22DCPT881,9.6,8.5,0.1,1.3,4.9
1351,Vu Huu Ngoc,B22DCKH579,7.6,2.8,9.3,9.4,7.3
1352,Ho Cong Giang,B22DCBC886,8.0,9.6,9.4,5.2,8.1
1353,Dinh Thanh Vy,B22DCKT818,6.7,4.6,0.7,7.2,4.8
1354,Dang Xuan Tam,B22DCCN403,7.5,7.9,0.7,9.0,6.3
1355,Mai Thu Tuan,B22DCMR289,7.7,9.7,9.6,6.0,8.2
1356,Vo Huu Lan,B22DCBC068,9.5,0.2,4.4,9.8,6.0
1357,Phan Quang Nga,B22DCVT331,9.1,7.4,1.4,5.6,5.9
1358,Vo Manh Tu,B22DCQT704,6.6,7.4,7.0,1.0,5.5
1359,Vu Thanh Long,B22DCMR773,8.8,2.5,7.2,5.5,6.0
1360,Dang Bao Chi,B22DCFT443,8.5,4.2,10.0,9.6,8.1
1361,Mai Dinh Tuan,B22DCVT560,7.3,1.9,3.3,6.8,4.8
1362,Dang Huu Nga,B22DCAT581,9.5,9.6,4.1,6.8,7.5
1363,Vo Van Chi,B22DCVT747,7.9,3.8,8.8,7.6,7.0
1364,Nguyen Duc Nga,B22DCKH643,9.9,1.1,5.3,7.1,5.8
1365,Doan Duc An,B22DCBC896,8.2,7.1,0.3,6.9,5.6
1366,Ly Manh Phuc,B22DCQT360,7.9,4.5,8.4,9.0,7.5
1367,Ho Cong Minh,B22DCPT848,9.2,3.6,0.2,7.2,5.0
1368,Phan Bao Nga,B22DCBC222,8.2,1.4,2.3,2.5,3.6
1369,Le Thu Chi,B22DCPT290,6.7,7.2,1.8,4.7,5.1
1370,Ho Van Hieu,B22DCPT446,7.7,1.6,5.2,9.7,6.0
1371,Ly Bao Vy,B22DCFT875,8.2,2.3,4.6,2.5,4.4
1372,Huynh Duc Long,B22DCKT883,8.7,0.3,6.6,8.4,6.0
1373,Tran Manh Tu,B22DCAT186,9.9,3.3,6.2,9.2,7.1
1374,Pham Duc Hoa,B22DCAT686,9.5,0.1,6.1,2.4,4.5
1375,Huynh Bao Phong,B22DCQT960,7.3,6.8,0.9,7.6,5.7
1376,Ta Huu Ngoc,B22DCVT400,7.8,3.3,0.9,7.2,4.8
1377,Hoang Dinh Bao,B22DCVT295,9.1,2.2,3.0,5.3,4.9
1378,Phan Duc Ngan,B22DCVT054,7.4,4.6,9.0,6.3,6.8
1379,Duong Duc Son,B22DCKT514,7.3,0.2,3.0,9.3,5.0
1380,Bui Ngoc Huy,B22DCFT688,7.4,8.4,5.5,8.1,7.3
1381,Ho Huu Duy,B22DCKT571,7.4,6.9,7.8,5.6,6.9
1382,Dinh Huu Ly,B22DCPT666,9.4,5.6,0.6,6.2,5.5
1383,Le Dinh Tu,B22DCQT619,6.9,3.1,0.3,3.4,3.4
1384,Le Thanh Phuc,B22DCPT483,6.1,9.8,6.7,8.5,7.8
1385,Dang Quoc Khanh,B22DCAT282,9.3,9.4,6.2,5.9,7.7
1386,Dinh Thu Viet,B22DCAT744,8.2,9.9,7.3,8.3,8.4
1387,Ngo Huu Hieu,B22DCKH424,7.3,6.0,6.8,6.7,6.7
1388,Ho Van Chau,B22DCPT394,8.8,5.5,5.1,6.1,6.4
1389,Do Duc Dung,B22DCKH234,7.2,9.8,2.8,9.2,7.2
1390,Tran Thi Minh,B22DCMR538,8.0,3.0,6.9,3.2,5.3
1391,Tran Bao Viet,B22DCKH427,6.7,8.5,2.8,1.7,4.9
1392,Tran Xuan Trang,B22DCPT144,9.2,1.3,7.6,9.5,6.9
1393,Do Cong Quang,B22DCQT815,8.2,2.7,4.5,4.3,4.9
1394,Mai Van Viet,B22DCCN182,9.4,6.6,7.0,2.4,6.3
1395,Nguyen Van Hai,B22DCCN190,8.1,1.1,6.4,3.9,4.9
1396,Ly Duc Anh,B22DCBC889,9.9,3.1,3.6,0.3,4.2
1397,Ta Thi Long,B22DCFT040,9.5,0.1,2.7,6.8,4.8
1398,Ho Cong Ha,B22DCPT945,8.3,0.9,4.3,5.1,4.7
1399,Hoang Van Bao,B22DCQT284,6.9,3.3,5.4,0.3,4.0
1400,Duong Van Ly,B22DCPT833,8.2,3.2,7.7,4.1,5.8
1401,Duong Quoc Nhi,B22DCKH830,7.0,0.7,7.1,3.0,4.5
1402,Bui Duc Tam,B22DCBC361,9.6,7.3,9.0,7.0,8.2
1403,Doan Xuan Phong,B22DCBC556,10.0,5.4,2.5,8.4,6.6
1404,Vu Bao Quang,B22DCKT462,7.7,4.9,1.2,1.6,3.9
1405,Bui Gia Duy,B22DCFT271,8.8,7.4,6.4,1.1,5.9
1406,Hoang Quang Minh,B22DCVT026,6.8,1.0,6.2,3.8,4.5
1407,Hoang Van Minh,B22DCFT757,8.0,6.5,1.1,6.0,5.4
1408,Phan Ngoc Ngan,B22DCPT035,9.4,1.6,1.0,3.9,4.0
1409,Ta Quoc Vy,B22DCKT695,9.9,9.1,8.3,1.1,7.1
1410,Duong Thi Nga,B22DCFT691,9.2,8.0,6.0,6.6,7.4
1411,Ta Thanh Nga,B22DCAT984,6.8,3.0,0.5,2.3,3.2
1412,Pham Quang Giang,B22DCKH299,6.6,2.2,7.3,2.0,4.5
1413,Bui Thu Ngan,B22DCAT346,7.0,0.7,2.5,9.6,4.9
1414,Le Gia Nam,B22DCFT925,7.9,5.1,2.6,9.9,6.4
1415,Duong Bao Vy,B22DCKH819,9.7,6.8,3.9,1.3,5.4
1416,Ta Thu Viet,B22DCKH997,9.0,9.8,2.0,3.7,6.1
1417,Ly Minh Ngan,B22DCQT754,9.4,6.0,2.6,5.0,5.8
1418,Nguyen Manh Son,B22DCVT987,8.3,3.6,8.3,1.2,5.4
1419,Nguyen Xuan Yen,B22DCKT445,7.6,7.9,4.6,1.8,5.5
1420,Ho Thi Hieu,B22DCPT693,9.8,2.9,0.6,0.2,3.4
1421,Vu Xuan Quan,B22DCAT855,6.5,7.5,6.6,8.0,7.2
1422,Ta Quoc Lan,B22DCBC505,8.5,6.9,6.9,1.1,5.9
1423,Vo Gia An,B22DCKH790,9.9,9.1,9.8,3.0,8.0
1424,Do Quoc Ngan,B22DCQT730,9.2,1.0,6.6,6.8,5.9
1425,Dang Thi Hoa,B22DCVT542,8.0,4.2,0.6,2.8,3.9
1426,Vu Duc Ngoc,B22DCBC192,6.3,8.4,2.2,7.9,6.2
1427,Nguyen Ngoc Binh,B22DCVT326,6.5,3.9,4.1,2.1,4.2
1428,Ho Thu Trung,B22DCKT867,8.1,3.2,1.5,4.8,4.4
1429,Vo Thu Viet,B22DCMR594,6.6,9.8,6.3,1.0,5.9
1430,Nguyen Xuan Tuan,B22DCMR187,7.6,2.9,5.3,2.0,4.5
1431,Hoang Quoc Tam,B22DCVT884,6.2,6.3,1.0,2.3,4.0
1432,Ngo Cong Dung,B22DCMR409,6.9,1.6,6.0,4.7,4.8
1433,Vo Thu Linh,B22DCKH221,7.8,5.3,4.8,4.6,5.6
1434,Le Cong Hoa,B22DCMR324,7.0,2.9,0.1,9.2,4.8
1435,Ngo Quang Tam,B22DCCN070,9.2,5.4,9.5,9.8,8.5
1436,Le Ngoc Ngoc,B22DCQT723,8.4,2.9,9.5,3.7,6.1
1437,Dinh Bao Khanh,B22DCQT344,6.1,2.0,0.9,10.0,4.8
1438,Vo Thu Linh,B22DCAT931,8.1,2.3,8.1,5.4,6.0
1439,Tran Duc Hieu,B22DCPT295,6.8,6.6,6.0,7.7,6.8
1440,Vu Cong Mai,B22DCAT402,7.9,7.4,0.1,1.6,4.2
1441,Dang Cong Chau,B22DCCN031,7.6,8.2,4.2,3.7,5.9
1442,Dang Xuan Tu,B22DCKT516,6.9,5.4,8.0,6.0,6.6
1443,Pham Thu Nam,B22DCFT699,9.1,1.0,8.3,4.6,5.8
1444,Le Thanh Tu,B22DCFT715,8.9,8.3,6.6,0.6,6.1
1445,Tran Manh Long,B22DCKT736,6.4,8.1,1.0,6.9,5.6
1446,Ly Huu Huy,B22DCFT728,6.5,4.3,3.5,4.9,4.8
1447,Le Huu Ly,B22DCQT716,9.3,3.9,3.1,0.3,4.2
1448,Ngo Quoc Linh,B22DCCN483,6.1,9.2,8.0,2.5,6.4
1449,Hoang Thi Ly,B22DCKH244,9.6,1.8,1.5,6.8,4.9
1450,Dang Manh Anh,B22DCMR057,7.0,5.2,9.5,7.4,7.3
1451,Doan Xuan Giang,B22DCMR036,8.9,7.2,4.0,8.3,7.1
1452,Doan Manh Lan,B22DCPT276,6.4,6.2,1.8,6.4,5.2
1453,Doan Cong Hai,B22DCMR655,7.2,3.0,6.6,5.5,5.6
1454,Pham Dinh Ha,B22DCMR053,9.6,5.7,7.9,3.5,6.7
1455,Ta Duc Minh,B22DCVT463,9.5,9.9,8.2,0.3,7.0
1456,Vo Cong Hoa,B22DCAT222,7.1,8.1,0.2,7.6,5.8
1457,Huynh Thu Trung,B22DCKH817,7.8,1.1,4.4,8.9,5.6
1458,Vo Quang Phuc,B22DCVT399,8.0,6.2,0.2,3.3,4.4
1459,Do Minh Tu,B22DCPT046,8.9,6.7,2.3,4.1,5.5
1460,Do Thanh Chau,B22DCAT974,6.6,4.0,4.6,0.5,3.9
1461,Vo Xuan Tam,B22DCCN447,8.7,7.0,7.1,9.5,8.1
1462,Ta Ngoc An,B22DCAT375,7.3,9.7,2.2,9.0,7.0
